自动ID,场景ID,场景,对话阶段,阶段顺序,人物,内容类型,话题,NPC台词,玩家可选台词,出现条件,选择结果,下一话题,动作/表情备注,设计备注,对话动机,画面表现,玩家因此知道什么,状态写入（不显示）,是否说出口,演出/交互方式
P0008,PRELUDE_HOME,《雾港日报》·赵敬文工作桌,前序·函件正文,1,赵敬文,线索查看,采访函,林班主台鉴：\n\n民国六年冬，白素秋女士身故一事，我当年曾据采访写过报道。\n\n近日重阅旧稿，其中一处说法想再向您核实。\n\n若方便，盼得一晤。\n\n赵敬文,,始终,,,,对象具体（哪一篇），状态含糊（不写悔恨/精神）。收入【原件】。作者层：他其实没查到新证据，序章不解释。,建立「想再核实」但不包装成二十年正义追查。,函件特写；右上角报馆发函日期在赵敬文死前。收入【原件】。,赵敬文死前想向林怀安核实二十年前白素秋报道里的一处说法。,player_knowledge += 赵敬文死前想向林怀安核实旧稿一处说法; player_questions += Q_WHAT_STATEMENT_WAS_WRONG,否,信件查看层；正文停留并显示表格动作按钮
P0007,PRELUDE_HOME,《雾港日报》·赵敬文工作桌,前序·函件正文,1,沈砚舟,玩家单一点击,调查动作,,寻找回信,始终,记录“已寻找林怀安回函”,前序·寻找回信结果,翻动留底旁的纸页与档案袋。,必须由玩家主动点击；动画结果只确认当前档案范围内未找到回函。,让玩家主动确认当前档案范围。,信页下方的动作按钮消失；桌面与档案袋进入翻找状态。,,reply_search_started=true,否,回函搜寻动画；动画完成后进入结果阶段
P0006,PRELUDE_HOME,《雾港日报》·赵敬文工作桌,前序·寻找回信结果,1,系统,线索查看,寻找回信,没找到,,始终,,前序·自由探索,,只能确认玩家在报馆采访函留底旁没有找到回函，不能写成“林怀安没回”。,确认当前搜寻结果，不推断回信是否存在。,,赵敬文死前寄过采访函给林怀安；报馆采访函留底旁未见林怀安回函。,player_knowledge += 报馆采访函留底旁未见林怀安回函,否,回函搜寻结果；物件查看层；玩家点击“返回房间”关闭
P0008A,PRELUDE_HOME,《雾港日报》·赵敬文工作桌,前序·自由探索选项,1,沈砚舟,探索热点,死亡报道与草图,,赵敬文死亡报道 / 旧戏院草图,尚未查看“记者证与采访本”,记录“已查看记者证与采访本”,前序·死亡报道与草图,,死亡报道与草图可并作一批点击；死亡报道给出失足落水结案口径。,核对死亡报道与空间草图。,,,choices += C_CHECK_DEATH_REPORT_MAP; death_report_checked=true,否,场景热点；点击后打开物件查看层
P0008B,PRELUDE_HOME,《雾港日报》·赵敬文工作桌,前序·死亡报道与草图,1,系统,线索查看,赵敬文之死与春和空间,,,始终,,前序·自由探索,,结案口径：失足落水身亡、无明显外伤、近来反复翻阅旧稿。草图圈「侧台—铁梯」「散场？」,,死亡报道：尸体于春和后巷石埠附近水面发现；警方认定为失足落水身亡。草图收入【原件】。,赵敬文死在春和后巷石埠附近，警方认定为失足落水身亡；他死前在重翻旧稿；春和草图标出侧台与天桥铁梯。,player_knowledge += 赵敬文死在春和后巷石埠附近且警方认定为失足落水身亡; player_knowledge += 春和草图标出侧台与天桥铁梯,否,物件查看层；玩家点击“返回房间”关闭
P0013,PRELUDE_HOME,《雾港日报》·赵敬文工作桌,前序·自由探索选项,9,沈砚舟,场景行动,离开报馆,,去春和戏院,已查看“春和工作夹” and 已查看“画满铅笔圈的旧报” and 已查看“赵敬文采访函留底” and 已查看“记者证与采访本”,记录“已完成序章案件线索检查”,前序·准备出发,,DEC34：四项检查后直接进入函件准备，不由主控自动串联材料。,必查原件齐后出发。,,,,否,案件线索完成自动推进；4/4 后不显示场景行动按钮；直接进入下一段
P0008C,PRELUDE_HOME,《雾港日报》·赵敬文工作桌,前序·准备出发,1,编辑,NPC台词,函件准备,编辑：「原件出了门就不是报馆的了。」,,始终,,,,DEC-20260922-CH1-PLAYABILITY：代价预告由编辑说，不是设计备注。,,编辑从门口探进头,,,是,连续剧情逐句点击；主控发言按钮；末句显示三个函件选项
P0009,PRELUDE_HOME,《雾港日报》·赵敬文工作桌,前序·准备出发,1,沈砚舟,玩家选项,函件准备,,带上采访函留底,letter_read=true,letter_preparation=original_carried,前序·出发,,编辑可暗示：原件出了门就不是报馆的了。高证明力、低控制权——若留给林怀安，命案后进警方证物。,原件证明力最高，控制权最低。,沈砚舟将采访函留底原件放入公文袋。,采访函留底原件由沈砚舟随身携带。,letter_preparation=original_carried; evidence.letter_original.holder=player; evidence.letter_copy.exists=false,否,玩家点击
P0010,PRELUDE_HOME,《雾港日报》·赵敬文工作桌,前序·准备出发,1,沈砚舟,玩家选项,函件准备,,抄下函件正文,letter_read=true,letter_preparation=copied,前序·出发,,现场只能出示抄录；警方后来未必拿到纸面原件。,兼顾安全与当晚可出示。,沈砚舟把正文逐字抄进采访本，原件留在报馆档案袋。,采访函留底原件留在报馆；沈砚舟随身有一份抄录。,letter_preparation=copied; evidence.letter_original.holder=newsroom; evidence.letter_copy.exists=true; evidence.letter_copy.holder=player,否,玩家点击
P0010B,PRELUDE_HOME,《雾港日报》·赵敬文工作桌,前序·准备出发,1,沈砚舟,玩家选项,函件准备,,原件先不动，只记住要点,letter_read=true,letter_preparation=left_home,前序·出发,,最隐蔽；当晚只能靠口述。可与抄录路线部分汇流，但证据链更弱。,最隐蔽，证据链最弱。,原件留在报馆；沈砚舟现场没有任何纸面函件。,原件安全在报馆；沈砚舟现场没有任何书面信件。,letter_preparation=left_home; evidence.letter_original.holder=newsroom; evidence.letter_copy.exists=false,否,玩家点击
P0011,PRELUDE_HOME,《雾港日报》编辑部·傍晚,前序·出发,1,系统,纯画面,出发,,,始终,,第一章·报馆换人了,切到春和。,三条函件路线汇流春和；差异留给林怀安会面与警方。编辑用笔杆敲墙上的末版时间：十一点半。,汇流春和。,墙钟指向傍晚；吊扇切到春和门前戏幡。,,,否,自动2—3秒
C01_001,C01_THEATRE_FRONT,春和戏院·门前,第一章·报馆换人了,1,场务,NPC台词,报馆换人,场务：「报馆换人了？」\n沈砚舟：「嗯。」\n场务：「方先生，报馆的人到了。」,,始终,,第一章·方仲山,沈砚舟出示采访席凭条；登记簿旧名被划去。,严格对应 v6 C01；动作由场景背景 UI 表现。,,春和门前、戏牌、入场看客、景片、登记簿与采访凭条。\n春和门前并不阴森。看客排队入场，伙计从侧门抬进景片，白纸花与红灯笼挂在一起。\n场务在登记簿上划掉“赵敬文”，写上“沈砚舟”。\n场务朝前场喊,原定采访人是赵敬文，报馆临时换成沈砚舟。,chapter1_started=true,是,连续剧情逐句点击；主控发言按钮；场景动作背景UI
C02_001,C02_FRONT_OF_HOUSE,春和戏院·前场,第一章·方仲山,1,方仲山,NPC台词,方仲山派活,方仲山：「原来不是赵老。」\n沈砚舟：「我接他的采访。」\n方仲山：「林班主还在备戏。」\n方仲山：「阿成，带沈记者去侧座。开锣前让他见班主一面。」\n阿成：「跟我走。」,,始终,,第一章·阿成带路,,严格对应 v6 C02；不把方仲山写成明显反派。,,座单、钥匙、前场人流和被扶正的木景片由背景 UI 表现。\n方仲山正在核座单。他顺手和年轻人扶正一块歪下来的木景片，再继续对账。\n方仲山看见凭条上被划去的名字,方仲山负责前场事务并安排阿成带路。,,是,连续剧情逐句点击；主控发言按钮；场景动作背景UI
C03_001,C03_PASSAGE,春和戏院·后台通道,第一章·阿成带路,1,阿成,NPC台词,挡路,阿成：「贴右走。」,,始终,,,,DEC-20260922-DIALOGUE-IRON-RULE：只拦，不解释景路。,,一名伙计抱着景片从左侧冲出来。阿成把沈砚舟拉到右边。,,,是,连续剧情逐句点击；主控发言按钮；末句显示两个回答
C03_010,C03_PASSAGE,春和戏院·后台通道,第一章·阿成带路,2,沈砚舟,玩家选项,左边,,左边怎么了？,始终,c03_left=asked,第一章·阿成带路·景路,,,,,,c03_left=asked,是,连续剧情逐句点击；主控发言按钮
C03_011,C03_PASSAGE,春和戏院·后台通道,第一章·阿成带路,2,沈砚舟,玩家选项,左边,,走。,始终,c03_left=ignored,第一章·阿成带路·帘口,,,,,,c03_left=ignored,否,玩家点击
C03_012,C03_PASSAGE,春和戏院·后台通道,第一章·阿成带路·帘口,1,系统,纯画面,帘口,,,始终,,,,,,侧台帘口不断有人进出。,,,否,背景UI无对话框；末帧显示两个回答
C03_020,C03_PASSAGE,春和戏院·后台通道,第一章·阿成带路·景路,1,阿成,NPC台词,左边,阿成：「景路。别站。」,,始终,,第一章·阿成带路·帘口,,,,,左边是运景的路，不能站。,,是,连续剧情逐句点击；主控发言按钮
C03_021,C03_PASSAGE,春和戏院·后台通道,第一章·阿成带路·帘口,2,沈砚舟,玩家选项,帘口,,掀开看看。,始终,c03_curtain=lift,第一章·阿成带路·别掀,,,,,,c03_curtain=lift,否,玩家点击
C03_022,C03_PASSAGE,春和戏院·后台通道,第一章·阿成带路·帘口,2,沈砚舟,玩家选项,帘口,,跟着走。,始终,c03_curtain=ignored,第一章·阿成带路·铁梯,,,,,,c03_curtain=ignored,否,玩家点击
C03_040,C03_PASSAGE,春和戏院·后台通道,第一章·阿成带路·别掀,1,阿成,NPC台词,帘口,阿成：「别掀。」\n阿成：「里头的人顾不上看路。」,,始终,,第一章·阿成带路·铁梯,,,,沈砚舟伸手时，阿成按住帘角。,开锣前侧台帘口也不能掀，里头的人顾不上看路。,,是,连续剧情逐句点击；主控发言按钮
C03_050,C03_PASSAGE,春和戏院·后台通道,第一章·阿成带路·铁梯,1,系统,纯画面,铁梯,,,始终,,,,,,贴墙窄铁梯。木架之间垂着吊绳。,,,否,背景UI无对话框；末帧显示三个回答
C03_051,C03_PASSAGE,春和戏院·后台通道,第一章·阿成带路·铁梯,2,沈砚舟,玩家选项,铁梯,,上去。,始终,c03_ladder=climb,第一章·阿成带路·别上,,,,,,c03_ladder=climb,否,玩家点击
C03_052,C03_PASSAGE,春和戏院·后台通道,第一章·阿成带路·铁梯,2,沈砚舟,玩家选项,铁梯,,这上面是什么？,始终,c03_ladder=asked,第一章·阿成带路·问梯,,,,,,c03_ladder=asked,是,连续剧情逐句点击；主控发言按钮
C03_053,C03_PASSAGE,春和戏院·后台通道,第一章·阿成带路·铁梯,2,沈砚舟,玩家选项,铁梯,,走。,始终,c03_ladder=ignored,第一章·阿成带路·催灯,,,,,,c03_ladder=ignored,否,玩家点击
C03_060,C03_PASSAGE,春和戏院·后台通道,第一章·阿成带路·别上,1,阿成,NPC台词,铁梯,阿成：「别上。」\n阿成：「戏没散，外人不能上。」,,始终,,第一章·阿成带路·催灯,,,,阿成横在梯口。,戏没散，外人不能上天桥。,,是,连续剧情逐句点击；主控发言按钮
C03_061,C03_PASSAGE,春和戏院·后台通道,第一章·阿成带路·问梯,1,阿成,NPC台词,铁梯,阿成：「天桥。今晚不走。」,,始终,,第一章·阿成带路·催灯,,,,,这座铁梯通天桥，今晚不走。,,是,连续剧情逐句点击；主控发言按钮
C03_070,C03_PASSAGE,春和戏院·后台通道,第一章·阿成带路·催灯,1,陈九生,NPC台词,催灯,陈九生：「前场催灯了，你还磨蹭。」\n阿成：「爹，方先生让我先带报馆的过去。」\n陈九生：「站线外。」,,始终,,第一章·纪念演出采访,,命令，不解释景片。,,陈九生把提灯塞给阿成，看了沈砚舟一眼，又进了侧台。,阿成叫陈九生爹。,,是,连续剧情逐句点击；主控发言按钮
C04_001,C04_SIDE_HALL,春和戏院·侧厅外间,第一章·纪念演出采访,1,林玉棠,NPC台词,纪念演出采访,林玉棠：「许先生说你前一折就喘得厉害，今晚别拖谢幕。」\n林怀安：「戏还没开，你先替我把话说完了。」\n阿成：「林班主，报馆的。」\n林怀安：「问吧，二锣以前。」\n沈砚舟：「二十年忌，为什么还是《夜渡》？」\n林怀安：「她最压得住台的一出。」\n林怀安：「雾港记得白素秋，多半也是从这出戏记得。」\n沈砚舟：「二十年前的报道说，她也是唱完《夜渡》以后出的事。」\n林怀安：「你来写戏，还是来重写旧报？」\n沈砚舟：「赵敬文死前，想再向您核实一处说法。」,,始终,,第一章·纪念演出采访·函件,,C04 共同行为；随后按 S02 函件处理状态进入当场分支。,,侧厅外间、演出外褂、水杯与门外催场动线。\n林怀安在侧厅外间换演出外褂，玉棠替他理平领口。,,,是,连续剧情逐句点击；主控发言按钮；末句后继续当前条件分支
C04_010,C04_SIDE_HALL,春和戏院·侧厅外间,第一章·纪念演出采访·函件,2,林怀安,NPC台词,出示采访函原件,林怀安：「他寄来的那份，我收到了。」\n沈砚舟：「留底旁没找到您的回信。」,,letter_preparation=original_carried,,第一章·纪念演出采访·材料透露,,只确认林自称收函；主控陈述仅限已查找范围。,,采访函原件摊在桌面；催场声逼近。\n沈砚舟把函件放在桌上。林怀安看见发函日期，读了一遍。,林怀安承认收到过赵敬文寄来的那份函件。,lin_received_zhao_letter=true,是,条件分支；连续剧情逐句点击；主控发言按钮
C04_013,C04_SIDE_HALL,春和戏院·侧厅外间,第一章·纪念演出采访·材料透露,1,林怀安,NPC台词,出示采访函原件,林怀安：「他桌上还留了什么？」,,始终,,,,,,,,,是,连续剧情；主控发言按钮；场景动作背景UI
C04_014,C04_SIDE_HALL,春和戏院·侧厅外间,第一章·纪念演出采访·材料透露,1,沈砚舟,玩家选项,出示采访函原件,,一张旧报，一张戏院草图，还有这份留底。,始终,,第一章·纪念演出采访·告知材料,,,,,,lin_disclosure=materials,是,玩家点击实际台词
C04_015,C04_SIDE_HALL,春和戏院·侧厅外间,第一章·纪念演出采访·材料透露,1,沈砚舟,玩家选项,出示采访函原件,,先谈这封信。您回过吗？,始终,,第一章·纪念演出采访·只谈函件,,,,,,lin_disclosure=letter_only,是,玩家点击实际台词
C04_016,C04_SIDE_HALL,春和戏院·侧厅外间,第一章·纪念演出采访·告知材料,1,林怀安,NPC台词,出示采访函原件,林怀安：「旧报和图也带来。演完，在侧厅等我。」\n场务：「林班主，二锣！」,,始终,,第一章·纪念演出采访·原件处理,,,,门外场务,林怀安让沈砚舟散场后到侧厅，并要求带上旧报和草图。,,是,连续剧情；主控发言按钮；场景动作背景UI
C04_017,C04_SIDE_HALL,春和戏院·侧厅外间,第一章·纪念演出采访·只谈函件,1,林怀安,NPC台词,出示采访函原件,林怀安：「信的事，散场后再说。到侧厅等我。」\n场务：「林班主，二锣！」,,始终,,第一章·纪念演出采访·原件处理,,,,门外场务,林怀安把信的谈话推迟到散场后；他没有回答是否回过信。,,是,连续剧情；主控发言按钮；场景动作背景UI
C04_018,C04_SIDE_HALL,春和戏院·侧厅外间,第一章·纪念演出采访·原件处理,1,林怀安,纯画面,出示采访函原件,,,始终,,,,,,林怀安伸手拿起桌上的采访函留底；玩家决定是否暂时留给他。,,,否,连续剧情；主控发言按钮；场景动作背景UI
C04_011,C04_SIDE_HALL,春和戏院·侧厅外间,第一章·纪念演出采访·原件处理,1,沈砚舟,玩家选项,函件控制权,,把函件暂时留给林怀安,始终,evidence.letter_original.holder=lin,第一章·开锣前,林怀安把函件折起，收进内褂夹袋。,,,林怀安收起原件。,,,否,玩家点击
C04_012,C04_SIDE_HALL,春和戏院·侧厅外间,第一章·纪念演出采访·原件处理,1,沈砚舟,玩家选项,函件控制权,,让他看完后收回,始终,evidence.letter_original.holder=player,第一章·开锣前,沈砚舟把函件收回公文袋。,,,原件回到沈砚舟公文袋。,,,否,玩家点击
C04_020,C04_SIDE_HALL,春和戏院·侧厅外间,第一章·纪念演出采访·函件,2,林怀安,NPC台词,出示抄录,林怀安：「原件呢？」\n沈砚舟：「在报馆。」\n林怀安：「演完别走。把他桌上还有什么，一样一样说给我听。」,,letter_preparation=copied,,第一章·开锣前,,v6 C04 抄录路线；林怀安未取得纸面。,,抄页递出后退回沈砚舟。\n沈砚舟把抄下的正文递给林怀安。\n林怀安读完\n林怀安把抄页退回来,林怀安答应散场后查看赵敬文留下的材料。,evidence.letter_copy.holder=player,是,条件分支；连续剧情逐句点击；主控发言按钮
C04_030,C04_SIDE_HALL,春和戏院·侧厅外间,第一章·纪念演出采访·函件,2,沈砚舟,NPC台词,无纸面口述,沈砚舟：「原件在报馆。正文我记得。」\n林怀安：「演完别走。把信里写了什么，一样一样说给我听。」,,letter_preparation=left_home,,第一章·开锣前,,DEC-20260831-33：只口述，不递交原件或抄录。,,桌面没有任何函件纸张。\n沈砚舟没有拿出纸面。,林怀安答应散场后听沈砚舟口述函件内容。,letter_meeting_mode=oral_only,是,条件分支；连续剧情逐句点击；主控发言按钮；无纸面
C05_001,C05_PUBLIC_POSITIONS,春和戏院·公开区域,第一章·开锣前,1,阿成,NPC台词,选择两个位置查看,阿成：「这几处都能走。」\n阿成：「锣响以后，别横穿台口。」,,c05_intro!=true,,,地图开放四个公开位置；玩家先查看其中两个。,点击具体动作或位置才写入【速记】。,,位置图显示观众席侧边、前场、台侧外围、乐池外围。\n阿成把沈砚舟带到观众席侧边的采访座。,,c05_intro=true; c05_observation_count=0,是,末句显示四个位置；每选一处写入速记
C05_010,C05_PUBLIC_POSITIONS,春和戏院·公开区域,第一章·开锣前,2,沈砚舟,位置选择,开锣前观察,,观众席侧边,c05_observation_count<2 and c05.audience!=true,c05.audience=true; c05_observation_count +=1,第一章·开锣前·检查进度,玉棠把温水杯放在许济川旁边；两人谈到林怀安刚才胸闷。,写入速记：开锣前，玉棠告诉许济川：林怀安‘刚才又闷了一下’。,,玉棠把温水杯放在许济川旁边；两人谈到林怀安刚才胸闷。,开锣前，玉棠告诉许济川：林怀安‘刚才又闷了一下’。,notes += C05_audience,否,玩家点击位置；场景背景反馈
C05_011,C05_PUBLIC_POSITIONS,春和戏院·公开区域,第一章·开锣前,2,沈砚舟,位置选择,开锣前观察,,前场,c05_observation_count<2 and c05.front!=true,c05.front=true; c05_observation_count +=1,第一章·开锣前·检查进度,方仲山不翻账便答出旧木箱在后柜第三格；这里没有本章推理速记。,普通事实：不写入本章推理速记。,,方仲山不翻账便答出旧木箱在后柜第三格；这里没有本章推理速记。,,,否,玩家点击位置；场景背景反馈
C05_012,C05_PUBLIC_POSITIONS,春和戏院·公开区域,第一章·开锣前,2,沈砚舟,位置选择,开锣前观察,,台侧外围,c05_observation_count<2 and c05.side!=true,c05.side=true; c05_observation_count +=1,第一章·开锣前·检查进度,白线外可见舞台出口、侧厅与铁梯之间的距离。,写入速记：舞台出口—侧台通道—侧厅；铁梯在通道岔口旁。,,白线外可见舞台出口、侧厅与铁梯之间的距离。,舞台出口—侧台通道—侧厅；铁梯在通道岔口旁。,notes += C05_side,否,玩家点击位置；场景背景反馈
C05_013,C05_PUBLIC_POSITIONS,春和戏院·公开区域,第一章·开锣前,2,沈砚舟,位置选择,开锣前观察,,乐池外围,c05_observation_count<2 and c05.orchestra!=true,c05.orchestra=true; c05_observation_count +=1,第一章·开锣前·检查进度,阿成抱灯跑回，因玉棠经过而停步片刻。,写入速记：阿成送灯途中停步，看着玉棠离开后才继续走。,,阿成抱灯跑回，因玉棠经过而停步片刻。,阿成送灯途中停步，看着玉棠离开后才继续走。,notes += C05_orchestra,否,玩家点击位置；场景背景反馈
C05_020,C05_PUBLIC_POSITIONS,春和戏院·公开区域,第一章·开锣前·检查进度,1,系统,纯跳转,检查观察数量,,,c05_observation_count<2,,第一章·开锣前,,,,,,,否,无画面跳转
C05_021,C05_PUBLIC_POSITIONS,春和戏院·公开区域,第一章·开锣前·检查进度,2,系统,纯跳转,检查观察数量,,,c05_observation_count>=2,,第一章·演出中段,,,,,,,否,无画面跳转
C06_010,C06_PERFORMANCE_MIDDLE,春和戏院·《夜渡》演出中段,第一章·演出中段,1,沈砚舟,位置选择,演出中段观察,,观众席侧边,始终,c06_position=audience,第一章·谢幕前后,,该时段只留下这一处速记：中段：林怀安按住胸口，停了半拍，随后继续唱。,,中段：林怀安按住胸口，停了半拍，随后继续唱。,中段：林怀安按住胸口，停了半拍，随后继续唱。,notes += C06_audience,否,地图位置单选；选择后锁定
C06_011,C06_PERFORMANCE_MIDDLE,春和戏院·《夜渡》演出中段,第一章·演出中段,1,沈砚舟,位置选择,演出中段观察,,前场,始终,c06_position=front,第一章·谢幕前后,,该时段只留下这一处速记：中段后：方仲山离开前场账桌；桌上账簿未收。,,中段后：方仲山离开前场账桌；桌上账簿未收。,中段后：方仲山离开前场账桌；桌上账簿未收。,notes += C06_front,否,地图位置单选；选择后锁定
C06_012,C06_PERFORMANCE_MIDDLE,春和戏院·《夜渡》演出中段,第一章·演出中段,1,沈砚舟,位置选择,演出中段观察,,台侧外围,始终,c06_position=side,第一章·谢幕前后,中段：林怀安在一处停顿时看向侧台帘外，随后继续唱。陈九生主动问过玉棠去了哪里。,该时段只留下这一处速记：中段：陈九生主动问过玉棠去了哪里。,,中段：林怀安停顿时看向侧台帘外。陈九生问阿成：林小姐刚才去哪了。,中段：林怀安在一处停顿时看向侧台帘外，随后继续唱。陈九生主动问过玉棠去了哪里。,notes += C06_side,否,地图位置单选；选择后锁定
C06_013,C06_PERFORMANCE_MIDDLE,春和戏院·《夜渡》演出中段,第一章·演出中段,1,沈砚舟,位置选择,演出中段观察,,乐池外围,始终,c06_position=orchestra,第一章·谢幕前后,,该时段只留下这一处速记：中段：许济川听说林怀安气喘后，判断他仍能唱完。,,中段：许济川听说林怀安气喘后，判断他仍能唱完。,中段：许济川听说林怀安气喘后，判断他仍能唱完。,notes += C06_orchestra,否,地图位置单选；选择后锁定
